weapon,charge,scenario,driverHz,shots,stamps,impacts,maxOwnedForwardM,ownedWidthM,ownedDepthM,ownedAreaM2,centerlineContinuousM,targetPaintRangeM,targetValidated,gridHash,peakProjectiles,simulationMilliseconds
1,0,flat,60,1,17,1,13.5,1.625,13.75,10.734375,0.625,13.600000381469727,false,2a64a83cfb7a15b22943a099e25db43e74084f48f722f18da43d09cefb3f07d6,1,39.1679
1,0,up30,60,1,2,1,1.75,1,2.125,1.375,0.625,13.600000381469727,false,0885b2f8bf59f326757569d5c0144f5c3e9f6a7210706577e073f9eaa32c8ffb,1,36.882400000000004
1,0,down30,60,1,4,1,3,1.625,3.25,2.5625,0.625,13.600000381469727,false,1b15dba7bba393c67d069d7dfee2ceb8707ac50df1e0a7a6de245ea326365558,1,34.6358
1,0,wall-near,60,1,2,1,0.625,1.625,1.3125,1.640625,0.625,13.600000381469727,false,7b961a909d317332fc655391f0d458de365ab63e32d34cc8cbfe5666b32a689f,1,41.5462
1,0,wall-middle,60,1,8,1,6,1.75,6.3125,5.53125,0.625,13.600000381469727,false,32abdfa3a50e01bb0ce9196c23b8f633d129d3c48cd0591ea91397c9900ac469,1,40.0773
1,0,wall-far,60,1,15,1,11.75,2,12.3125,10.015625,0.625,13.600000381469727,false,4b35b626f25a99096fc608e0cef64cb9fc13fdc098b4f02074f669560324c554,1,41.8254
1,0,slope,60,1,12,1,6.75,1.75,9.78704833984375,7.546875,0.625,13.600000381469727,false,e9d973fa6b14c291ef1140e9899681bc274505986d328e44b5e42c88ee01e170,1,56.183600000000006
1,0,high-drop,60,1,10,1,23.25,1.25,6.75,5.765625,0,13.600000381469727,false,18af49e05c7578d4d4396f259cfd0723d8001bdd1acf9403482fec6edf789b7d,1,38.1507
1,0,occluded,60,1,3,1,2.75,1.375,3,1.96875,0.625,13.600000381469727,false,cbc6e0c8619d7ff0ad897b88f7f24738150c8fa4d82424a38a500260cad62019,1,40.1373
1,0,continuous,30,20,353,20,19.25,3.375,19.625,34.625,0.75,13.600000381469727,false,c86752554576fd6dbba8d928a54c037a42566d31d8832ae39fee90c6e0bcb991,8,116.0023
