tick,charge,freeInk,reservedInk,remaining,shotSequence,phase
0,0,100,0,0,0,Charging
1,1,99.9337158,0.0662878752,0,0,Charging
2,2,99.86743,0.13257575,0,0,Charging
3,3,99.80115,0.198863626,0,0,Charging
4,4,99.73486,0.2651515,0,0,Charging
5,5,99.66858,0.331439376,0,0,Charging
6,6,99.6022949,0.397727251,0,0,Charging
7,7,99.53601,0.464015126,0,0,Charging
8,8,99.46973,0.530303,0,0,Charging
9,9,99.31584,0.684185565,0,0,Charging
10,10,99.16196,0.8380682,0,0,Charging
11,11,99.00807,0.9919507,0,0,Charging
12,12,98.85419,1.14583337,0,0,Charging
13,13,98.7003,1.29971588,0,0,Charging
14,14,98.54642,1.45359838,0,0,Charging
15,15,98.39253,1.607481,0,0,Charging
16,16,98.23865,1.76136363,0,0,Charging
17,17,98.08476,1.91524613,0,0,Charging
18,18,97.93088,2.06912875,0,0,Charging
19,19,97.77699,2.22301126,0,0,Charging
20,20,97.62311,2.37689376,0,0,Charging
21,21,97.46922,2.53077626,0,0,Charging
22,22,97.31534,2.684659,0,0,Charging
23,23,97.16145,2.83854127,0,0,Charging
24,24,97.00757,2.99242425,0,0,Charging
25,25,96.85368,3.14630675,0,0,Charging
26,26,96.6998,3.30018926,0,0,Charging
27,27,96.54591,3.45407152,0,0,Charging
28,28,96.39203,3.6079545,0,0,Charging
29,29,96.2381439,3.761837,0,0,Charging
30,30,96.08426,3.91571927,0,0,Charging
31,31,95.9303741,4.06960249,0,0,Charging
32,32,95.77649,4.22348452,0,0,Charging
33,33,95.6226044,4.377367,0,0,Charging
34,34,95.46872,4.53124952,0,0,Charging
35,35,95.3148346,4.6851325,0,0,Charging
36,36,95.16095,4.839015,0,0,Charging
37,37,95.0070648,4.99289751,0,0,Charging
38,38,94.85318,5.14677954,0,0,Charging
39,39,94.699295,5.300662,0,0,Charging
40,40,94.54541,5.4545455,0,0,Charging
41,41,94.3915253,5.608428,0,0,Charging
42,42,94.23764,5.7623105,0,0,Charging
43,43,94.0837555,5.916193,0,0,Charging
44,44,93.92987,6.07007551,0,0,Charging
45,45,93.7759857,6.22395754,0,0,Charging
46,46,93.6221,6.37784,0,0,Charging
47,47,93.4682159,6.5317235,0,0,Charging
48,48,93.31433,6.685606,0,0,Charging
49,49,93.1604462,6.83948851,0,0,Charging
50,50,93.00656,6.993371,0,0,Charging
51,51,92.85268,7.147253,0,0,Charging
52,52,92.69879,7.30113554,0,0,Charging
53,53,92.54491,7.455018,0,0,Charging
54,54,92.39102,7.6089015,0,0,Charging
55,55,92.23714,7.762784,0,0,Charging
56,56,92.08325,7.91666651,0,0,Charging
57,57,91.92937,8.070549,0,0,Charging
58,58,91.77548,8.224431,0,0,Charging
59,59,91.6216,8.378314,0,0,Charging
60,60,91.46771,8.532196,0,0,Charging
61,61,91.31383,8.68608,0,0,Charging
62,62,91.15994,8.839962,0,0,Charging
63,63,91.00606,8.993844,0,0,Charging
64,64,90.85217,9.147727,0,0,Charging
65,65,90.69829,9.30161,0,0,Charging
66,66,90.5444,9.455492,0,0,Charging
67,67,90.39052,9.609375,0,0,Charging
68,68,90.23663,9.763256,0,0,Charging
69,69,90.08275,9.91714,0,0,Charging
70,70,89.92886,10.0710211,0,0,Charging
71,71,89.77498,10.224905,0,0,Charging
72,72,89.62109,10.378788,0,0,Charging
73,73,89.46721,10.53267,0,0,Charging
74,74,89.313324,10.686553,0,0,Charging
75,75,89.15944,10.8404341,0,0,Charging
76,76,89.0055542,10.994318,0,0,Charging
77,77,88.85167,11.1481991,0,0,Charging
78,78,88.6977844,11.302083,0,0,Charging
79,79,88.5439,11.455966,0,0,Charging
80,80,88.3900146,11.609848,0,0,Charging
81,81,88.23613,11.763731,0,0,Charging
82,82,88.0822449,11.9176121,0,0,Charging
83,83,87.92836,12.071496,0,0,Charging
84,84,87.7744751,12.2253771,0,0,Charging
85,85,87.62059,12.379261,0,0,Charging
86,86,87.4667053,12.533144,0,0,Charging
87,87,87.31282,12.6870251,0,0,Charging
88,88,87.1589355,12.840909,0,0,Charging
89,89,87.00505,12.99479,0,0,Charging
90,90,86.8511658,13.148674,0,0,Charging
91,91,86.69728,13.3025551,0,0,Charging
92,92,86.543396,13.456439,0,0,Charging
93,93,86.38951,13.610322,0,0,Charging
94,94,86.23563,13.7642031,0,0,Charging
95,95,86.08174,13.918087,0,0,Charging
96,96,85.92786,14.0719681,0,0,Charging
97,97,85.77397,14.225852,0,0,Charging
98,98,85.62009,14.3797331,0,0,Charging
99,99,85.4662,14.533617,0,0,Charging
100,100,85.31232,14.6875,0,0,Charging
101,101,85.15843,14.8413811,0,0,Charging
102,102,85.00455,14.995265,0,0,Charging
103,103,84.85066,15.1491461,0,0,Charging
104,104,84.69678,15.30303,0,0,Charging
