scenario,gridHash,trace.csv SHA256,paint.csv SHA256
w1-q0-continuous-144,949e125f47124b62aef39af9090ee3ca56ae27b42afb7eac15924f2b068276ad,c3e32a78ba9ebdb0cc6ea387d6bdcfd6849f81793bd72d6e80604521f151e87c,b7aefd005b5fc75eca74cfd2fe8c5455c0cae115d96db8aead5e13f5d569e2fd
w1-q0-continuous-30,bf20190faeb6bf2c72f00ec07d369396ee3928e1f4c85bac5376513b45a747d6,15be4d02fdd23c9601ab2faf456cd002eeffeea9366e9af3baff821f2d58f1f8,3a6a0268674ed9ebbc1a473dd87e0660e3519f892b09f66a17c343c1e383e519
w1-q0-continuous-60,bf20190faeb6bf2c72f00ec07d369396ee3928e1f4c85bac5376513b45a747d6,4225c8db1c0f7027e0aec6d4707e23fa27cec95d2d6de660431f6139197ce06c,1d0d756e048d5938dabccc8196c8a4f3620031db99480fc4472b6e94e32fb3a4
w1-q0-down30-60,d5ac7053cdd17482367aebc8512cb694a46e59aee067ecf43cc872f205d31cc6,90df0c09488c9c1c27d8e22aadbfae5f0b8e0a600a1a33f354377e220f09ef6e,3881f85cd21824700aae8a2ebaa2eb4ebb388a6db8110ef2efaf46536662dec7
w1-q0-flat-60,6ed614024bd9e2d5f570c51ea3e6f45701af925276bf6524b1afd5d93831dd52,52c83d5d102e7b00449cc275060aecedcb60026b837863c87335f969bbfb0ad4,d04cec139ab8f9a6b135b148fe12ae0e4a768226747b57e92ca221d25e97979c
w1-q0-high-drop-60,223abbbb43a218e74d6e61fd76fcc0bbc461c66b7cad38b7af37c314b8aa357a,510a8b03543334e61eb3f50166217027b859148f14654a4b3bb465e0605a8c0b,f535232bd13d4d5e01957c9581dedc1a4d0f2dc627c4cb4026c3e8633b162110
w1-q0-occluded-60,ecb0aff6adc0a9590a68377cd795616759c2424d956007970890b8476a474b5e,784b4627d9ef02349c825864bed6d204ea1bd31ac547b03a6cf1f559598fbcb4,4f696f689e508d050999155bdd9f4c33665a93cb598c4ad1e8c0e2535cdb1252
w1-q0-slope-60,4a9e42e2d499e793465ab9722ae50aec212767283e42a19b2696229472d07e01,e3874d4bed59be06061b3c60a472ecc4cf591e26cd220b62196609b60b327836,0f7a6019582e68c1bf7d3d30926a1100daded2a91376454d074d0462257b70a8
w1-q0-up30-60,dfca71e9abd89978a6536b02db618a5c086b629dc9dd61ec21a3a19716dd753c,dab7821779899b231c9a2cffdf54d289ca842e12f37c7195710bc724786b0c16,4d0cf87e876878f8d56683852e8bccd95c3cd8a8fbe952ec08f9e45255924c1a
w1-q0-wall-far-60,3147c14ac7d66be6ca8884f5f1a1b6e25e5f696675fa83e0aa16a38d955a275b,5022b5873e8cf4284ddfaf492922e22cd016e8b9aff959c930d320fd970f8103,c4b86ef4d4e57547da1ec4d7b94c986265553827e740d879b135ecb61b726625
