surface,hero,kind,radius_m,width_px,height_px,mask_pixels,mask_area_m2
floor,1,impact,0.650000,232,249,35475,0.541306
floor,1,impact,0.725000,258,277,44138,0.673492
floor,1,impact,0.800000,285,306,53755,0.820236
floor,1,trail,0.464000,166,177,18078,0.275848
floor,1,trail,0.580000,207,221,28245,0.430984
floor,1,trail,0.696000,248,266,40661,0.620438
floor,2,impact,0.750000,267,287,47228,0.720642
floor,2,impact,0.850000,303,325,60671,0.925766
floor,2,impact,0.950000,339,363,75792,1.156494
floor,2,trail,0.360000,128,138,10881,0.166031
floor,2,trail,0.450000,160,172,17026,0.259796
floor,2,trail,0.540000,192,207,24489,0.373672
floor,3,impact,0.500000,179,191,20999,0.320419
floor,3,impact,0.675000,241,258,38268,0.583923
floor,3,impact,0.850000,303,325,60671,0.925766
floor,3,trail,0.144000,51,55,1742,0.026581
floor,3,trail,0.180000,64,69,2724,0.041565
floor,3,trail,0.216000,77,82,3917,0.059769
floor,4,impact,0.600000,213,230,30227,0.461227
floor,4,impact,0.675000,241,258,38268,0.583923
floor,4,impact,0.750000,267,287,47228,0.720642
floor,4,trail,0.224000,79,85,4207,0.064194
floor,4,trail,0.280000,100,107,6583,0.100449
floor,4,trail,0.336000,120,129,9480,0.144653
floor,5,impact,1.200000,428,459,120915,1.845016
floor,5,impact,1.350000,481,517,153035,2.335129
floor,5,impact,1.500000,535,574,188973,2.883499
floor,5,trail,0.464000,166,177,18078,0.275848
floor,5,trail,0.580000,207,221,28245,0.430984
floor,5,trail,0.696000,248,266,40661,0.620438
wall,1,impact,0.650000,232,249,35475,0.541306
wall,1,impact,0.725000,258,277,44138,0.673492
wall,1,impact,0.800000,285,306,53755,0.820236
wall,1,trail,0.464000,166,177,18078,0.275848
wall,1,trail,0.580000,207,221,28245,0.430984
wall,1,trail,0.696000,248,266,40661,0.620438
wall,2,impact,0.750000,267,287,47228,0.720642
wall,2,impact,0.850000,303,325,60671,0.925766
wall,2,impact,0.950000,339,363,75792,1.156494
wall,2,trail,0.360000,128,138,10881,0.166031
wall,2,trail,0.450000,160,172,17026,0.259796
wall,2,trail,0.540000,192,207,24489,0.373672
wall,3,impact,0.500000,179,191,20999,0.320419
wall,3,impact,0.675000,241,258,38268,0.583923
wall,3,impact,0.850000,303,325,60671,0.925766
wall,3,trail,0.144000,51,55,1742,0.026581
wall,3,trail,0.180000,64,69,2724,0.041565
wall,3,trail,0.216000,77,82,3917,0.059769
wall,4,impact,0.600000,213,230,30227,0.461227
wall,4,impact,0.675000,241,258,38268,0.583923
wall,4,impact,0.750000,267,287,47228,0.720642
wall,4,trail,0.224000,79,85,4207,0.064194
wall,4,trail,0.280000,100,107,6583,0.100449
wall,4,trail,0.336000,120,129,9480,0.144653
wall,5,impact,1.200000,428,459,120915,1.845016
wall,5,impact,1.350000,481,517,153035,2.335129
wall,5,impact,1.500000,535,574,188973,2.883499
wall,5,trail,0.464000,166,177,18078,0.275848
wall,5,trail,0.580000,207,221,28245,0.430984
wall,5,trail,0.696000,248,266,40661,0.620438
