hero,weapon,field,before,after,originalValue,evidenceLevel,sourceField,reference
1,RifleGirl,airSwimBraking,30,30,,retained-project-value,,
1,RifleGirl,airSwimFallSpeed,1.5,1.5,,retained-project-value,,
1,RifleGirl,airSwimGravity,4,4,,retained-project-value,,
1,RifleGirl,airSwimSpeed,6,6,,retained-project-value,,
1,RifleGirl,baseJumpSpreadDegrees,0,0,,retained-project-value,,
1,RifleGirl,baseSpreadDegrees,0,0,,retained-project-value,,
1,RifleGirl,brakeSeconds,0.13333333333333333,0.06666666666666667,4,reference-simulator-default,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,brakeSpeedMultiplier,0.66,0.66,,retained-project-value,,
1,RifleGirl,burstCount,1,1,,retained-project-value,,
1,RifleGirl,burstRecoverySeconds,0.0,0.0,,retained-project-value,,
1,RifleGirl,characterGravity,22,22,,retained-project-value,,
1,RifleGirl,characterPrefabAddress,Character/RifleGirl,Character/RifleGirl,,retained-project-value,,
1,RifleGirl,chargeMinDamage,0,0,,retained-project-value,,
1,RifleGirl,chargeMinInk,0,0,,retained-project-value,,
1,RifleGirl,chargeMinJumpSpread,0,0,,retained-project-value,,
1,RifleGirl,chargeMinRange,0,0,,retained-project-value,,
1,RifleGirl,chargeMinSpeed,0,0,,retained-project-value,,
1,RifleGirl,chargeMinSpread,0,0,,retained-project-value,,
1,RifleGirl,chargePartialMaxDamage,0,0,,retained-project-value,,
1,RifleGirl,chargeSeconds,0.0,0.0,,retained-project-value,,
1,RifleGirl,collisionRadius,0.025,0.14976910596164247,0.2,source-explicit,CollisionParam.EndRadiusForField,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,damage,36,36,,retained-project-value,,
1,RifleGirl,damageMin,18,18,,retained-project-value,,
1,RifleGirl,damageReduceEndSeconds,0.6666666666666666,0.6666666666666666,,retained-project-value,,
1,RifleGirl,damageReduceStartSeconds,0.13333333333333333,0.13333333333333333,,retained-project-value,,
1,RifleGirl,displayName,紫苑,紫苑,,retained-project-value,,
1,RifleGirl,effectiveRange,10.4,10.4,,retained-project-value,,
1,RifleGirl,emergeStartSeconds,0.16666666666666666,0.16666666666666666,,retained-project-value,,
1,RifleGirl,enemyInkDamageRate,20,20,,retained-project-value,,
1,RifleGirl,enemyInkHealthFloor,60,60,,retained-project-value,,
1,RifleGirl,enemyInkMultiplier,0.55,0.55,,retained-project-value,,
1,RifleGirl,fireMode,0,0,,retained-project-value,,
1,RifleGirl,fireRate,15,10,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,healthRecoverDelay,1,1,,retained-project-value,,
1,RifleGirl,healthRecoverRate,30,30,,retained-project-value,,
1,RifleGirl,id,1,1,,retained-project-value,,
1,RifleGirl,inkRecoverLockSeconds,0.3333333333333333,0.3333333333333333,,retained-project-value,,
1,RifleGirl,jumpSpeed,7,7,,retained-project-value,,
1,RifleGirl,jumpSpreadDegrees,12,11.66,11.66,source-explicit,WeaponParam.Jump_DegSwerve,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,landingSpreadRecoverSeconds,0.2,0.2,,retained-project-value,,
1,RifleGirl,lifetime,10,10,,retained-project-value,,
1,RifleGirl,mantleSeconds,0.25,0.25,,retained-project-value,,
1,RifleGirl,maxHealth,100,100,,retained-project-value,,
1,RifleGirl,maxInk,100,100,,retained-project-value,,
1,RifleGirl,motionMode,,4,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,moveAcceleration,40,40,,retained-project-value,,
1,RifleGirl,moveSpeed,5,4.31335,0.096,source-explicit,Common.1130,Tools/ValidationData/WeaponAudit/Common.1130.json
1,RifleGirl,muzzleMode,0,0,,retained-project-value,,
