weapon,driverHz,shotCount,paintStamps,impacts,peakProjectiles,scenario,gridHash,charge,lastPaintForward,maxOwnedForward,ownedWidth,ownedDepth,centerlineContinuous,connectedReach,ownedArea,simulationMilliseconds,inkSpent,attackSeconds,ownedAreaPerSecond,ownedAreaPer100Ink,emittedProjectiles,fullActions,fullTank,targetValidated,captureSet
1,60,20,1015,20,10,continuous,1a8e012ef1f62a94508448516c42dde6dda047f8d75fe4dec28fc3941ae38bbd,0.0,18.98419189453125,20.25,4.375,20.875,18.125,20.0,43.734375,312.5697,17.000000476837158,1.3333333333333333,32.80078125,257.26102219578735,20,False,False,False,before
1,60,1,51,1,1,flat,3b16f44722aef6c6083a76743b12da0f7a19af9bb64a97665d29af9a19b8d44d,0.0,15.05462646484375,15.875,1.875,16.25,15.5,15.625,16.859375,56.0717,0.8500000238418579,0.06666666666666667,252.890625,1983.4558267185034,1,False,False,False,before
1,60,1,19,1,1,high-drop,ab9f44bf8c2718785ed5e786fe8f7e24a2be91b65ac7e5f86076cdd497132522,0.0,22.3338623046875,23.375,1.625,5.875,0.0,0.0,5.34375,49.8303,0.8500000238418579,0.06666666666666667,80.15625,628.6764529543357,1,False,False,False,before
1,60,1,21,1,1,wall-middle,15b3352b1b0f13d0e526d16bcb4ed3dfb4996c1072d2b47a835846023072cb75,0.0,6.0,6.5,2.0,6.75,5.5,6.375,7.515625,56.054300000000005,0.8500000238418579,0.06666666666666667,112.734375,884.1911516696942,1,False,False,False,before
2,60,20,64,20,2,continuous,a0b1a05b530c1c18a934b652abdbc2f114c538bba79546319c8baa462ae84829,0.0,13.07672119140625,14.125,2.875,15.375,2.375,2.5,17.171875,69.9,27.999999523162842,3.0000000715255752,5.723958196863532,61.32812604441176,20,False,False,False,before
2,60,1,4,1,1,flat,25f9729eff9a874dd0740094c373cc07e6a457c7f4710cdb056cf95a98b43cb0,0.0,12.03436279296875,12.875,2.25,13.75,0.875,2.375,7.34375,43.924600000000005,1.399999976158142,0.15000000357627877,48.95833216607571,524.5535803616657,1,False,False,False,before
2,60,1,1,1,1,high-drop,91d08ada4d6bf9cba6aee7d69fae4ce42c761b1dc107c663e79f0d34a2715849,0.0,16.60247802734375,17.5,2.125,1.75,0.0,0.0,2.734375,36.395900000000005,1.399999976158142,0.15000000357627877,18.229166232049465,195.3125033261521,1,False,False,False,before
2,60,1,3,1,1,wall-middle,febe47c9b105ac8ca86633cb03ee157119fa1d6a5001c818aa5050662e180257,0.0,6.0,2.375,2.75,6.9375,0.875,2.375,6.5,44.063,1.399999976158142,0.15000000357627877,43.33333230018616,464.2857221924531,1,False,False,False,before
3,60,20,4984,160,15,continuous,115de38d7b645ab0f3fe25350a13d50e0c77cc885cb65fcfa7bb5b623a524ac6,0.0,12.82720947265625,13.625,3.625,13.75,13.25,13.625,25.484375,666.5751,80.0,8.000000000000002,3.185546874999999,31.85546875,160,False,False,False,before
3,60,1,248,8,8,flat,4d24b5cd05295adf79346a0d5d9810909be0c64dd8b55a456e2d70642ffa49da,0.0,12.0206298828125,12.875,2.75,12.875,0.0,0.625,15.890625,70.3019,4.0,0.4,39.7265625,397.265625,8,False,False,False,before
3,60,1,124,8,8,high-drop,c3ba6d24ac1d091a9cfc7c10a9161d678063998b68d15120f244e49d30fa0a90,0.0,19.73406982421875,20.5,3.75,9.625,0.0,0.0,19.453125,63.976800000000004,4.0,0.4,48.6328125,486.328125,8,False,False,False,before
3,60,1,150,8,8,wall-middle,ad6ba9cdab8d672270de876e1d33b587e5144d92e64bd59b3b9d78e375c4b0f9,0.0,6.0,6.25,2.375,6.25,0.0,0.5,8.78125,64.7902,4.0,0.4,21.953125,219.53125,8,False,False,False,before
4,60,20,840,20,6,continuous,fcbe3add191e5caf303d3d5aa5a7dad3cd373b143274a148a91cdee59681b84c,0.0,13.0567626953125,13.875,1.75,14.25,0.5,0.5,11.640625,115.8354,16.00000023841858,1.666666666666666,6.984375000000003,72.75390516588233,20,False,False,False,before
4,60,1,42,1,1,flat,3f9e6dd0638d629964ea1f95f9be88781bfd64b0f8b98716572b64c41e441e06,0.0,13.0567626953125,13.5,1.25,13.75,0.125,0.125,6.4375,41.0018,0.800000011920929,0.08333333333333333,77.25,804.6874880092221,1,False,False,False,before
4,60,1,27,1,1,high-drop,7622ecc26d375125257f74cdc0b623e1d814b5d89d097d26948e3e0c67fcc08a,0.0,21.0252685546875,21.625,1.0,5.625,0.0,0.0,3.015625,42.8448,0.800000011920929,0.08333333333333333,36.1875,376.95311938296084,1,False,False,False,before
4,60,1,21,1,1,wall-middle,66f705028eb70f95b64a2515df9086f5d23804946cd86c3646c02e13b9b32d70,0.0,6.0,6.125,1.375,6.25,0.25,0.25,3.234375,41.86,0.800000011920929,0.08333333333333333,38.8125,404.2968689755072,1,False,False,False,before
5,60,20,200,20,1,continuous,27d2b922b50a6c33630f4e1ce7b5284e391b6774845e799fb6a02f8d43f6b310,0.0,11.6666259765625,13.875,4.125,13.25,0.0,13.875,25.6875,114.72810000000001,140.0,11.66666666666667,2.201785714285714,18.348214285714285,20,False,False,False,before
5,60,1,10,1,1,flat,fb09b90d779462c5f34bd9c95e80ca877835b7af1b88a215e9e4ac571aaec680,0.0,11.6666259765625,13.0,3.25,12.125,0.0,1.125,13.015625,43.085300000000004,7.0,0.5833333333333334,22.3125,185.9375,1,False,False,False,before
5,60,1,0,1,1,high-drop,d58201a30b35a60612306667b083ca4dfaf9efa107386fff36188e42c34c3c19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3923,7.0,0.5833333333333334,0.0,0.0,1,False,False,False,before
5,60,1,5,1,1,wall-middle,3eedc0b7d94d6f1001829d8e3e95ef8a6a6f4d26a286ba8811d020217910c137,0.0,6.0,4.75,2.375,5.1875,0.0,1.125,4.53125,39.5328,7.0,0.5833333333333334,7.767857142857142,64.73214285714286,1,False,False,False,before
6,60,20,60,20,12,continuous,e3660ffbf296be4692a10e28567f2b66fb5be27b7d577713e3bfb15248f83fb4,1.0,19.10504150390625,20.125,3.25,21.375,2.625,2.75,18.171875,77.68860000000001,10.606060028076172,1.3333333333333333,13.62890625,171.33483076557872,20,False,False,False,before
6,60,1,3,1,1,flat,4f3c50cf83a5d3c871af837d1f5d5cc6dc0a26e143a4026281891ac71ed4d4df,1.0,15.48907470703125,16.625,2.5,17.5,0.875,0.875,3.796875,40.7085,0.5303030014038086,0.06666666666666667,56.953125,715.9821818750753,1,False,False,False,before
6,60,1,1,1,1,high-drop,8029f26f670a36ef29cd55a4e0ae56c7cf55b04bc784a1e26c70da2df478fb97,1.0,24.80810546875,26.0,2.5,2.0,0.0,0.0,1.703125,38.0447,0.5303030014038086,0.06666666666666667,25.546875,321.16073178758523,1,False,False,False,before
6,60,1,3,1,1,wall-middle,09d3466a726f10911022667dd9b93f90dc41ddc54c214e0fa00af00d65f6eacf,1.0,6.0,2.5,2.875,6.9375,0.875,0.875,3.71875,38.9788,0.5303030014038086,0.06666666666666667,55.78125,701.2500382150943,1,False,False,False,before
7,60,20,620,20,3,continuous,f6c58ac10371c40fc22bc2514251c7c88960b78ed2a01d2fc962f06fa21cba16,0.0,18.82452392578125,19.5,1.5,16.375,0.0,0.0,8.234375,111.0,160.0,11.000000000000002,0.7485795454545453,5.146484375,20,False,False,False,before
7,60,1,31,1,1,flat,e443c3297acb2101d698317373f4f8b62d47ee75aa4955b196fec2514a62c402,0.0,18.82452392578125,19.25,1.25,16.125,0.0,0.0,3.796875,39.5206,8.0,0.55,6.90340909090909,47.4609375,1,False,False,False,before
7,60,1,7,1,1,high-drop,da60d6709a71fb45fa3f7382d748ba86b967137f590e35dc7f6bc41450f22434,0.0,22.77557373046875,22.875,1.125,12.875,0.0,0.0,0.875,35.7151,8.0,0.55,1.5909090909090908,10.9375,1,False,False,False,before
7,60,1,28,1,1,wall-middle,418cc2c5f9d8d6a4e98a5818b6e80b4159028da677dc67e7bff8d23c988db670,0.0,6.0,5.875,2.375,11.8125,0.0,0.875,3.71875,50.3001,8.0,0.55,6.761363636363636,46.484375,1,False,False,False,before
1,60,20,80,20,3,continuous,fb4b170bd9b61721c0df1c5931d2e57b5d98572ca3315151a66f1f1cbb5383df,0.0,10.61065673828125,12.0,2.625,13.0,1.125,1.375,8.84375,69.6937,18.40000033378601,2.0000000000000004,4.421874999999999,48.06385782374764,20,False,False,False,after-direct
1,60,1,4,1,1,flat,6ed9114cc74a52158a25e6acfa0ac186b3ba09c9bf338d276c82be80d620006c,0.0,10.4659423828125,11.875,2.375,12.875,1.125,1.375,7.6875,38.006,0.9200000166893005,0.1,76.875,835.5978109287577,1,False,False,False,after-direct
