weapon,path,value,projectFields,status
1,GameParameters.CollisionParam.ChangeFrameForField,0,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.CollisionParam.EndRadiusForField,0.2,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.CollisionParam.EndRadiusForPlayer,0.285,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.CollisionParam.FriendThroughFrameForPlayer,0,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.CollisionParam.InitRadiusForField,0.2,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.CollisionParam.InitRadiusForPlayer,0.285,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.DamageParam.ReduceEndFrame,40,damageReduceEndFrames,原始覆盖；不包含缺失的类型默认值
1,GameParameters.DamageParam.ReduceStartFrame,8,damageReduceStartFrames,原始覆盖；不包含缺失的类型默认值
1,GameParameters.DamageParam.ValueMax,360,damage,原始覆盖；不包含缺失的类型默认值
1,GameParameters.DamageParam.ValueMin,180,damageMin,原始覆盖；不包含缺失的类型默认值
1,GameParameters.MoveParam.FreeGravity,0.016,gravity,原始覆盖；不包含缺失的类型默认值
1,GameParameters.MoveParam.GoStraightStateEndMaxSpeed,1.493,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.MoveParam.GoStraightToBrakeStateFrame,4,straightFrames,原始覆盖；不包含缺失的类型默认值
1,GameParameters.MoveParam.SpawnSpeed,2.266,"speedMin,speedMax",原始覆盖；不包含缺失的类型默认值
1,GameParameters.PaintParam.DepthScaleMax,2.24,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.PaintParam.DepthScaleMaxBreakFree,2.24,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.PaintParam.DepthScaleMin,1.31,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.PaintParam.DepthScaleMinBreakFree,1.12,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.PaintParam.DistanceMiddle,1.1,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.PaintParam.WidthHalfFar,1.71,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.PaintParam.WidthHalfMiddle,1.93,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.PaintParam.WidthHalfNear,1.93,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.SplashPaintParam.DepthMaxDropHeight,3.0,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.SplashPaintParam.DepthMinDropHeight,10.0,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.SplashPaintParam.WidthHalf,1.472,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.SplashPaintParam.WidthHalfNearest,2.0608,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.SplashSpawnParam.ForceSpawnNearestAddNumArray,[4],未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.SplashSpawnParam.SpawnBetweenLength,9.2,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.SplashSpawnParam.SpawnNearestLength,1.2,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.SplashSpawnParam.SpawnNum,1.5,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.SplashSpawnParam.SplitNum,8,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.WallDropCollisionPaintParam.PaintRadiusFall,0.65,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.WallDropCollisionPaintParam.PaintRadiusGround,0.6,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.WallDropCollisionPaintParam.PaintRadiusShock,1.56,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.WallDropMoveParam.FallPeriodFirstFrameMax,40,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.WallDropMoveParam.FallPeriodFirstFrameMin,20,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.WallDropMoveParam.FallPeriodFirstTargetSpeed,0.06,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.WallDropMoveParam.FallPeriodLastFrameMax,35,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.WallDropMoveParam.FallPeriodLastFrameMin,15,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.WallDropMoveParam.FallPeriodSecondFrame,10,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.WallDropMoveParam.FallPeriodSecondTargetSpeed,0.06,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.WallDropMoveParam.FreeGravityType,"""value_0_008""",未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.WeaponParam.InkConsume,0.0092,shotInk,原始覆盖；不包含缺失的类型默认值
1,GameParameters.WeaponParam.Jump_DegBiasDecreaseStartFrame,25,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.WeaponParam.Jump_DegBiasEndFrame,70,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.WeaponParam.Jump_DegBiasMax,0.4,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.WeaponParam.Jump_DegSwerve,11.66,jumpSpreadDegrees,原始覆盖；不包含缺失的类型默认值
