hero,weapon,field,before,after,evidence,reference,originalValue,sourceField,evidenceLevel,conversionFactor
1,RifleGirl,referenceRules,<new field>,1,project-adaptation,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,,,project-adaptation,
1,RifleGirl,shootMoveSpeed,3.6,3.235012688771477,WeaponParam.MoveSpeed * 60S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,0.072,WeaponParam.MoveSpeed,source-explicit,44.930731788492736
1,RifleGirl,referenceBrakeDrag,<new field>,0.36,sendou default per frame,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,0.36,,reference-simulator-default,1.0
1,RifleGirl,referenceBrakeGravity,<new field>,188.70907351166954,sendou default * 3600S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,0.07,,reference-simulator-default,2695.8439073095647
1,RifleGirl,referenceFreeDrag,<new field>,0,sendou default per frame,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,0,,reference-simulator-default,
1,RifleGirl,projectileGravity,18,43.13350251695304,MoveParam.FreeGravity / sendou default * 3600S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,0.016,MoveParam.FreeGravity,source-explicit,2695.8439073095647
1,RifleGirl,brakeSeconds,0.13333333333333333,0.06666666666666667,sendou default / 60,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,4,,reference-simulator-default,0.016666666666666666
1,RifleGirl,paintDropGravity,<new field>,43.13350251695304,project-adaptation,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,,,project-adaptation,
1,RifleGirl,paintDropLifetime,<new field>,5,project-adaptation,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,,,project-adaptation,
1,RifleGirl,referenceFootEvery,<new field>,1,project-adaptation,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,,,project-adaptation,
